#  dt dtz fluor_diode izero_diode refl scanNr sry sty
1.000000014901161194e-01 8.003199577331542969e+00 3.319820000000000000e+05 6.808200000000000000e+04 7.491140000000000000e+05 4.860000000000000000e+02 3.249599933624267578e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.064599990844726562e+00 2.303260000000000000e+05 6.815400000000000000e+04 7.771950000000000000e+05 4.860000000000000000e+02 3.274599909782409668e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.126199722290039062e+00 1.813350000000000000e+05 6.809700000000000000e+04 7.799940000000000000e+05 4.860000000000000000e+02 3.299599885940551758e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.187800407409667969e+00 1.582800000000000000e+05 6.805600000000000000e+04 7.978740000000000000e+05 4.860000000000000000e+02 3.324599862098693848e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.249400138854980469e+00 1.401880000000000000e+05 6.818400000000000000e+04 7.891210000000000000e+05 4.860000000000000000e+02 3.349600136280059814e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.310999870300292969e+00 1.301720000000000000e+05 6.810700000000000000e+04 7.990610000000000000e+05 4.860000000000000000e+02 3.374600112438201904e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.372400283813476562e+00 1.318790000000000000e+05 6.804400000000000000e+04 7.843670000000000000e+05 4.860000000000000000e+02 3.399600088596343994e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.434000015258789062e+00 1.161980000000000000e+05 6.814200000000000000e+04 7.617150000000000000e+05 4.860000000000000000e+02 3.424600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.495599746704101562e+00 1.192700000000000000e+05 6.808400000000000000e+04 7.739610000000000000e+05 4.860000000000000000e+02 3.449600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.557200431823730469e+00 1.138270000000000000e+05 6.809100000000000000e+04 7.531860000000000000e+05 4.860000000000000000e+02 3.474600017070770264e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.618800163269042969e+00 1.267540000000000000e+05 6.810200000000000000e+04 7.426640000000000000e+05 4.860000000000000000e+02 3.499599993228912354e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.680399894714355469e+00 1.192400000000000000e+05 6.802300000000000000e+04 7.164540000000000000e+05 4.860000000000000000e+02 3.524599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.741800308227539062e+00 1.262980000000000000e+05 6.802400000000000000e+04 6.771930000000000000e+05 4.860000000000000000e+02 3.549599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.803400039672851562e+00 1.372840000000000000e+05 6.814600000000000000e+04 6.031920000000000000e+05 4.860000000000000000e+02 3.574599921703338623e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.864999771118164062e+00 1.548090000000000000e+05 6.814800000000000000e+04 5.122820000000000000e+05 4.860000000000000000e+02 3.599599897861480713e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.926600456237792969e+00 1.868300000000000000e+05 6.808900000000000000e+04 4.381090000000000000e+05 4.860000000000000000e+02 3.624599874019622803e-01 0.000000000000000000e+00
1.000000014901161194e-01 8.988200187683105469e+00 2.059970000000000000e+05 6.811800000000000000e+04 5.476760000000000000e+05 4.860000000000000000e+02 3.649600148200988770e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.049599647521972656e+00 2.022490000000000000e+05 6.811400000000000000e+04 6.651630000000000000e+05 4.860000000000000000e+02 3.674600124359130859e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.111200332641601562e+00 1.903120000000000000e+05 6.810100000000000000e+04 7.337460000000000000e+05 4.860000000000000000e+02 3.699600100517272949e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.172800064086914062e+00 1.688700000000000000e+05 6.807200000000000000e+04 7.733870000000000000e+05 4.860000000000000000e+02 3.724600076675415039e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.234399795532226562e+00 1.590190000000000000e+05 6.805400000000000000e+04 7.964640000000000000e+05 4.860000000000000000e+02 3.749600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.295999526977539062e+00 1.547660000000000000e+05 6.807900000000000000e+04 7.926810000000000000e+05 4.860000000000000000e+02 3.774600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.357399940490722656e+00 1.472970000000000000e+05 6.809400000000000000e+04 8.015110000000000000e+05 4.860000000000000000e+02 3.799600005149841309e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.418999671936035156e+00 1.476260000000000000e+05 6.804500000000000000e+04 7.887080000000000000e+05 4.860000000000000000e+02 3.824599981307983398e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.480600357055664062e+00 1.590200000000000000e+05 6.806900000000000000e+04 8.060250000000000000e+05 4.860000000000000000e+02 3.849599957466125488e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.542200088500976562e+00 1.448840000000000000e+05 6.815500000000000000e+04 8.076470000000000000e+05 4.860000000000000000e+02 3.874599933624267578e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.603799819946289062e+00 1.577070000000000000e+05 6.818000000000000000e+04 8.048620000000000000e+05 4.860000000000000000e+02 3.899599909782409668e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.665399551391601562e+00 1.530610000000000000e+05 6.813200000000000000e+04 8.022840000000000000e+05 4.860000000000000000e+02 3.924599885940551758e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.726799964904785156e+00 1.593610000000000000e+05 6.811700000000000000e+04 8.005470000000000000e+05 4.860000000000000000e+02 3.949599862098693848e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.788399696350097656e+00 1.707090000000000000e+05 6.812100000000000000e+04 7.865530000000000000e+05 4.860000000000000000e+02 3.974600136280059814e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.850000381469726562e+00 1.786290000000000000e+05 6.806300000000000000e+04 7.655430000000000000e+05 4.860000000000000000e+02 3.999600112438201904e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.911600112915039062e+00 1.959670000000000000e+05 6.810900000000000000e+04 7.269330000000000000e+05 4.860000000000000000e+02 4.024600088596343994e-01 0.000000000000000000e+00
1.000000014901161194e-01 9.973199844360351562e+00 2.143480000000000000e+05 6.804700000000000000e+04 7.074360000000000000e+05 4.860000000000000000e+02 4.049600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.003460025787353516e+01 2.465840000000000000e+05 6.809300000000000000e+04 6.859780000000000000e+05 4.860000000000000000e+02 4.074600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.009619998931884766e+01 2.993820000000000000e+05 6.802300000000000000e+04 6.446420000000000000e+05 4.860000000000000000e+02 4.099600017070770264e-01 0.000000000000000000e+00
